nid,company_uid,title,date,Salary,City,jobtype,experience,preferred_gender,preferred_nationality,preferred_languages
2789,116825,"Bartender / Barmaid - relocation to Dubai, United Arab Emirates",9/17/2018,10,Dubai - United Arab Emirates,parttime,1 year,Male,,English
2788,98798,"Events Coordinator - relocation to Dubai, United Arab Emirates",9/17/2018,2700,Dubai - United Arab Emirates,fulltime,3 years,Male/Female,,English
2787,98798,"Intern - relocation to Dubai, United Arab Emirates",9/17/2018,0,Dubai - United Arab Emirates,fulltime,,Male/Female,,English
2786,116591,"Bartender / Barmaid - relocation to Dubai, United Arab Emirates",9/16/2018,1500,"Conakry, Guinea",fulltime,2 years,,,"English, French"
2785,116336,"Barista - relocation to Dubai, United Arab Emirates",9/15/2018,700,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2781,113420,"Sales - relocation to Dubai, United Arab Emirates",9/12/2018,1370,Dubai - United Arab Emirates,fulltime,3 years,Male/Female,,English
2780,104747,"Assistant Reservation Manager - relocation to Dubai, United Arab Emirates",9/12/2018,1700,Dubai - United Arab Emirates,fulltime,3 years,Female,,"Arabic, English, English, French"
2779,104747,"Host/Hostess - relocation to Dubai, United Arab Emirates",9/12/2018,1700,Dubai - United Arab Emirates,fulltime,3 years,Female,,
2778,104747,"Bartender / Barmaid - relocation to Dubai, United Arab Emirates",9/12/2018,1350,Dubai - United Arab Emirates,fulltime,5+ years,,,
2777,104747,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/12/2018,1350,Dubai - United Arab Emirates,fulltime,,,,
2776,115768,"Administrations - relocation to Dubai, United Arab Emirates",9/12/2018,600,Lebanon ,fulltime,1 year,Male,,Arabic
2775,65977,"Host/Hostess - relocation to Dubai, United Arab Emirates",9/12/2018,1250,Dubai - United Arab Emirates,fulltime,1 year,Female,,"English, English"
2774,113420,"Personal Trainer - relocation to Dubai, United Arab Emirates",9/12/2018,1650,Dubai - United Arab Emirates,fulltime,3 years,Female,,"English, English"
2773,113420,"Receptionist - relocation to Dubai, United Arab Emirates",9/12/2018,1650,Dubai - United Arab Emirates,fulltime,3 years,Female,,English
2772,63119,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/11/2018,1000,Dubai - United Arab Emirates,fulltime,2 years,,,"English, French"
2764,114708,"Sales - relocation to Dubai, United Arab Emirates",9/10/2018,1500,Dubai - United Arab Emirates,fulltime,2 years,,,English
2763,114708,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/10/2018,700,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2762,114708,"Cashier - relocation to Dubai, United Arab Emirates",9/10/2018,700,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2759,76910,"Host/Hostess - relocation to Dubai, United Arab Emirates",9/9/2018,1500,Dubai - United Arab Emirates,fulltime,1 year,Male/Female,,English
2758,76910,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/9/2018,1500,Dubai - United Arab Emirates,fulltime,1 year,Male/Female,,English
2757,113905,"Runner / Commis - relocation to Dubai, United Arab Emirates",9/8/2018,500,Dubai - United Arab Emirates,fulltime,2 years,Male/Female,,English
2756,74260,"Bartender / Barmaid - relocation to Dubai, United Arab Emirates",9/8/2018,680,Dubai - United Arab Emirates,fulltime,2 years,,,
2755,113905,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/8/2018,1000,Dubai - United Arab Emirates,fulltime,2 years,,,English
2752,102425,"Chef - relocation to Dubai, United Arab Emirates",9/6/2018,0,Dubai - United Arab Emirates,fulltime,5+ years,Male,,English
2751,105076,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/6/2018,680,Abu Dhabi - United Arab Emirates,fulltime,,Female,,English
2750,113472,"Receptionist - relocation to Dubai, United Arab Emirates",9/5/2018,1500,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2749,103836,"Host/Hostess - relocation to Dubai, United Arab Emirates",9/5/2018,1600,Dubai - United Arab Emirates,fulltime,1 year,Female,,"English, English"
2747,106821,"Barista - relocation to Dubai, United Arab Emirates",9/5/2018,1000,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2746,106821,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",9/5/2018,1250,Dubai - United Arab Emirates,fulltime,1 year,Female,,English
2745,105076,"Restaurant Manager - relocation to Dubai, United Arab Emirates",9/5/2018,2722,Abu Dhabi - United Arab Emirates,fulltime,5+ years,Male/Female,,
2744,113198,"HR coordinator - relocation to Dubai, United Arab Emirates",9/5/2018,500,Dubai - United Arab Emirates,both,,Male/Female,,English
2743,63256,"Cashier - relocation to Dubai, United Arab Emirates",9/5/2018,850,Dubai - United Arab Emirates,fulltime,3 years,Male/Female,,
